t,fault_prob,state_name,state_code,breaker,alarm_level,isolated_string,action
0,0.14451387524604797,NORMAL,1,0,0,-1,Monitoring
1,0.15382617712020874,NORMAL,1,0,0,-1,Monitoring
2,0.14793185889720917,NORMAL,1,0,0,-1,Monitoring
3,0.1426367461681366,NORMAL,1,0,0,-1,Monitoring
4,0.10194601863622665,NORMAL,1,0,0,-1,Monitoring
5,0.0957658588886261,NORMAL,1,0,0,-1,Monitoring
6,0.17212170362472534,NORMAL,1,0,0,-1,Monitoring
7,0.18859043717384338,NORMAL,1,0,0,-1,Monitoring
8,0.21397776901721954,NORMAL,1,0,0,-1,Monitoring
9,0.17857696115970612,NORMAL,1,0,0,-1,Monitoring
10,0.17551344633102417,NORMAL,1,0,0,-1,Monitoring
11,0.14285266399383545,NORMAL,1,0,0,-1,Monitoring
12,0.13088667392730713,NORMAL,1,0,0,-1,Monitoring
13,0.12171497941017151,NORMAL,1,0,0,-1,Monitoring
14,0.13058996200561523,NORMAL,1,0,0,-1,Monitoring
15,0.15623673796653748,NORMAL,1,0,0,-1,Monitoring
16,0.16690246760845184,NORMAL,1,0,0,-1,Monitoring
17,0.1605585515499115,NORMAL,1,0,0,-1,Monitoring
18,0.16616186499595642,NORMAL,1,0,0,-1,Monitoring
19,0.17471273243427277,NORMAL,1,0,0,-1,Monitoring
20,0.17833146452903748,NORMAL,1,0,0,-1,Monitoring
21,0.15607473254203796,NORMAL,1,0,0,-1,Monitoring
22,0.14035797119140625,NORMAL,1,0,0,-1,Monitoring
23,0.1446065604686737,NORMAL,1,0,0,-1,Monitoring
24,0.1394568830728531,NORMAL,1,0,0,-1,Monitoring
25,0.13174834847450256,NORMAL,1,0,0,-1,Monitoring
26,0.11608757078647614,NORMAL,1,0,0,-1,Monitoring
27,0.12208175659179688,NORMAL,1,0,0,-1,Monitoring
28,0.158042311668396,NORMAL,1,0,0,-1,Monitoring
29,0.2553384006023407,NORMAL,1,0,0,-1,Monitoring
30,0.5660947561264038,DETECTING,2,0,1,-1,"Fault terdeteksi (p=0.57), konfirmasi..."
31,0.9833685755729675,DETECTING,2,0,1,-1,Konfirmasi 2/5 (p=0.98)
32,0.9988027811050415,DETECTING,2,0,1,-1,Konfirmasi 3/5 (p=1.00)
33,0.9996258020401001,DETECTING,2,0,1,-1,Konfirmasi 4/5 (p=1.00)
34,0.9996046423912048,ISOLATING,3,0,2,-1,Konfirmasi 5/5 (p=1.00)
35,0.9993209838867188,ISOLATED,4,1,3,0,ISOLASI String 0 (node 3)
36,0.9997568726539612,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
37,0.9998911619186401,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
38,0.999968409538269,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
39,0.999980092048645,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
40,0.9999816417694092,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
41,0.9999732971191406,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
42,0.9999252557754517,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
43,0.9998654127120972,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
44,0.9996052384376526,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
45,0.9985974431037903,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
46,0.9925002455711365,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
47,0.9938012957572937,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
48,0.9994015693664551,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
49,0.9998026490211487,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
50,0.999882698059082,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
51,0.9998900890350342,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
52,0.9998219609260559,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
53,0.9996070265769958,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
54,0.9989928603172302,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
55,0.9948457479476929,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
56,0.9470018744468689,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
57,0.7866693139076233,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
58,0.9782480597496033,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
59,0.9994792342185974,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
60,0.9998762607574463,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
61,0.9998892545700073,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
62,0.9998947381973267,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
63,0.9997839331626892,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
64,0.9994224309921265,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
65,0.9986060261726379,ISOLATED,4,1,3,0,"String 0 terisolasi, monitoring"
66,0.04657849296927452,ISOLATED,4,1,3,0,Menunggu recovery 1/10
67,0.004679845180362463,ISOLATED,4,1,3,0,Menunggu recovery 2/10
68,0.004009368363767862,ISOLATED,4,1,3,0,Menunggu recovery 3/10
69,0.0010643773712217808,ISOLATED,4,1,3,0,Menunggu recovery 4/10
70,0.0002239963214378804,ISOLATED,4,1,3,0,Menunggu recovery 5/10
