datetime_local,G_Wm2,T_cell_C,V_mpp_string_V,I_mpp_string_A,P_mpp_string_W,P_mpp_total_W
2025-01-01 08:00:00+00:00,0.0,27.36,0.0,0.0,0.0,0.0
2025-01-01 09:00:00+00:00,0.0,27.26,0.0,0.0,0.0,0.0
2025-01-01 10:00:00+00:00,0.0,27.19,0.0,0.0,0.0,0.0
2025-01-01 11:00:00+00:00,0.0,27.14,0.0,0.0,0.0,0.0
2025-01-01 12:00:00+00:00,0.0,27.13,0.0,0.0,0.0,0.0
2025-01-01 13:00:00+00:00,3.67,27.12,0.1402,30.1757,4.2318,12.6953
2025-01-01 14:00:00+00:00,73.8,27.36,2.8534,36.3685,103.7751,311.3253
2025-01-01 15:00:00+00:00,226.57,27.58,8.7878,38.5541,338.8065,1016.4196
2025-01-01 16:00:00+00:00,301.73,27.71,11.7107,39.064,457.466,1372.3979
2025-01-01 17:00:00+00:00,391.4,27.82,15.199,39.5096,600.5041,1801.5123
2025-01-01 18:00:00+00:00,470.1,27.9,18.261,39.8086,726.9447,2180.834
2025-01-01 19:00:00+00:00,400.27,27.97,15.5441,39.5164,614.246,1842.738
2025-01-01 20:00:00+00:00,286.35,28.01,11.1125,38.9014,432.2914,1296.8741
2025-01-01 21:00:00+00:00,195.52,27.97,7.5807,38.1837,289.4592,868.3777
2025-01-01 22:00:00+00:00,115.12,27.92,4.4569,37.1452,165.5541,496.6623
2025-01-01 23:00:00+00:00,78.32,27.84,3.0287,36.3809,110.186,330.5581
2025-01-02 00:00:00+00:00,47.38,27.73,1.8292,35.3709,64.7008,194.1023
2025-01-02 01:00:00+00:00,16.12,27.56,0.6199,33.1643,20.5583,61.6748
2025-01-02 02:00:00+00:00,0.0,27.32,0.0,0.0,0.0,0.0
2025-01-02 03:00:00+00:00,0.0,27.24,0.0,0.0,0.0,0.0
2025-01-02 04:00:00+00:00,0.0,27.2,0.0,0.0,0.0,0.0
2025-01-02 05:00:00+00:00,0.0,27.16,0.0,0.0,0.0,0.0
2025-01-02 06:00:00+00:00,0.0,27.11,0.0,0.0,0.0,0.0
