datetime_local,ALLSKY_SFC_SW_DWN,T2M
2025-01-01 08:00:00+00:00,0.0,27.36
2025-01-01 09:00:00+00:00,0.0,27.26
2025-01-01 10:00:00+00:00,0.0,27.19
2025-01-01 11:00:00+00:00,0.0,27.14
2025-01-01 12:00:00+00:00,0.0,27.13
2025-01-01 13:00:00+00:00,3.67,27.12
2025-01-01 14:00:00+00:00,73.8,27.36
2025-01-01 15:00:00+00:00,226.57,27.58
2025-01-01 16:00:00+00:00,301.73,27.71
2025-01-01 17:00:00+00:00,391.4,27.82
2025-01-01 18:00:00+00:00,470.1,27.9
2025-01-01 19:00:00+00:00,400.27,27.97
2025-01-01 20:00:00+00:00,286.35,28.01
2025-01-01 21:00:00+00:00,195.52,27.97
2025-01-01 22:00:00+00:00,115.12,27.92
2025-01-01 23:00:00+00:00,78.32,27.84
2025-01-02 00:00:00+00:00,47.38,27.73
2025-01-02 01:00:00+00:00,16.12,27.56
2025-01-02 02:00:00+00:00,0.0,27.32
2025-01-02 03:00:00+00:00,0.0,27.24
2025-01-02 04:00:00+00:00,0.0,27.2
2025-01-02 05:00:00+00:00,0.0,27.16
2025-01-02 06:00:00+00:00,0.0,27.11
2025-01-02 07:00:00+00:00,0.0,27.0
2025-01-02 08:00:00+00:00,0.0,26.88
2025-01-02 09:00:00+00:00,0.0,26.81
2025-01-02 10:00:00+00:00,0.0,26.76
2025-01-02 11:00:00+00:00,0.0,26.77
2025-01-02 12:00:00+00:00,0.0,26.81
2025-01-02 13:00:00+00:00,2.75,26.88
2025-01-02 14:00:00+00:00,56.7,27.17
2025-01-02 15:00:00+00:00,166.57,27.46
2025-01-02 16:00:00+00:00,280.8,27.59
2025-01-02 17:00:00+00:00,341.4,27.78
2025-01-02 18:00:00+00:00,393.33,27.89
2025-01-02 19:00:00+00:00,577.0,27.98
2025-01-02 20:00:00+00:00,486.17,28.05
2025-01-02 21:00:00+00:00,452.38,28.08
2025-01-02 22:00:00+00:00,427.88,28.08
2025-01-02 23:00:00+00:00,348.15,28.03
2025-01-03 00:00:00+00:00,191.05,27.84
2025-01-03 01:00:00+00:00,50.25,27.6
2025-01-03 02:00:00+00:00,0.0,27.4
2025-01-03 03:00:00+00:00,0.0,27.3
2025-01-03 04:00:00+00:00,0.0,27.24
2025-01-03 05:00:00+00:00,0.0,27.19
2025-01-03 06:00:00+00:00,0.0,27.09
2025-01-03 07:00:00+00:00,0.0,26.96
2025-01-03 08:00:00+00:00,0.0,26.86
2025-01-03 09:00:00+00:00,0.0,26.79
2025-01-03 10:00:00+00:00,0.0,26.75
2025-01-03 11:00:00+00:00,0.0,26.76
2025-01-03 12:00:00+00:00,0.0,26.76
2025-01-03 13:00:00+00:00,2.5,26.77
2025-01-03 14:00:00+00:00,76.0,26.92
2025-01-03 15:00:00+00:00,207.98,27.1
2025-01-03 16:00:00+00:00,343.7,27.23
2025-01-03 17:00:00+00:00,439.35,27.5
2025-01-03 18:00:00+00:00,623.22,27.79
2025-01-03 19:00:00+00:00,709.45,27.99
2025-01-03 20:00:00+00:00,720.97,28.09
2025-01-03 21:00:00+00:00,692.9,28.06
2025-01-03 22:00:00+00:00,503.0,27.91
2025-01-03 23:00:00+00:00,313.73,27.68
2025-01-04 00:00:00+00:00,168.0,27.38
2025-01-04 01:00:00+00:00,44.22,27.09
2025-01-04 02:00:00+00:00,0.0,26.84
2025-01-04 03:00:00+00:00,0.0,26.7
2025-01-04 04:00:00+00:00,0.0,26.64
2025-01-04 05:00:00+00:00,0.0,26.6
2025-01-04 06:00:00+00:00,0.0,26.54
2025-01-04 07:00:00+00:00,0.0,26.47
2025-01-04 08:00:00+00:00,0.0,26.33
2025-01-04 09:00:00+00:00,0.0,26.21
2025-01-04 10:00:00+00:00,0.0,26.14
2025-01-04 11:00:00+00:00,0.0,26.09
2025-01-04 12:00:00+00:00,0.0,26.1
2025-01-04 13:00:00+00:00,2.92,26.11
2025-01-04 14:00:00+00:00,50.47,26.29
2025-01-04 15:00:00+00:00,171.98,26.52
2025-01-04 16:00:00+00:00,338.2,26.68
2025-01-04 17:00:00+00:00,582.55,26.86
2025-01-04 18:00:00+00:00,731.35,27.01
2025-01-04 19:00:00+00:00,686.97,27.07
2025-01-04 20:00:00+00:00,687.7,27.1
2025-01-04 21:00:00+00:00,635.7,27.11
2025-01-04 22:00:00+00:00,483.75,27.1
2025-01-04 23:00:00+00:00,311.17,27.19
2025-01-05 00:00:00+00:00,172.45,27.33
2025-01-05 01:00:00+00:00,47.95,27.43
2025-01-05 02:00:00+00:00,0.0,27.32
2025-01-05 03:00:00+00:00,0.0,27.29
2025-01-05 04:00:00+00:00,0.0,27.26
2025-01-05 05:00:00+00:00,0.0,27.16
2025-01-05 06:00:00+00:00,0.0,27.01
2025-01-05 07:00:00+00:00,0.0,26.83
2025-01-05 08:00:00+00:00,0.0,26.64
2025-01-05 09:00:00+00:00,0.0,26.49
2025-01-05 10:00:00+00:00,0.0,26.43
2025-01-05 11:00:00+00:00,0.0,26.42
2025-01-05 12:00:00+00:00,0.0,26.45
2025-01-05 13:00:00+00:00,3.28,26.51
2025-01-05 14:00:00+00:00,100.93,26.71
2025-01-05 15:00:00+00:00,301.45,26.98
2025-01-05 16:00:00+00:00,519.05,27.17
2025-01-05 17:00:00+00:00,689.42,27.35
2025-01-05 18:00:00+00:00,797.72,27.55
2025-01-05 19:00:00+00:00,859.6,27.81
2025-01-05 20:00:00+00:00,845.2,28.0
2025-01-05 21:00:00+00:00,745.45,28.08
2025-01-05 22:00:00+00:00,609.78,28.07
2025-01-05 23:00:00+00:00,434.7,27.98
2025-01-06 00:00:00+00:00,239.9,27.83
2025-01-06 01:00:00+00:00,66.47,27.59
2025-01-06 02:00:00+00:00,0.0,27.28
2025-01-06 03:00:00+00:00,0.0,27.12
2025-01-06 04:00:00+00:00,0.0,27.04
2025-01-06 05:00:00+00:00,0.0,26.96
2025-01-06 06:00:00+00:00,0.0,26.88
2025-01-06 07:00:00+00:00,0.0,26.78
2025-01-06 08:00:00+00:00,0.0,26.7
2025-01-06 09:00:00+00:00,0.0,26.62
2025-01-06 10:00:00+00:00,0.0,26.55
2025-01-06 11:00:00+00:00,0.0,26.52
2025-01-06 12:00:00+00:00,0.0,26.54
2025-01-06 13:00:00+00:00,3.45,26.59
2025-01-06 14:00:00+00:00,110.97,27.02
2025-01-06 15:00:00+00:00,338.75,27.47
2025-01-06 16:00:00+00:00,580.97,27.86
2025-01-06 17:00:00+00:00,770.6,28.27
2025-01-06 18:00:00+00:00,913.25,28.68
2025-01-06 19:00:00+00:00,1000.35,28.98
2025-01-06 20:00:00+00:00,984.67,29.15
2025-01-06 21:00:00+00:00,913.85,29.22
2025-01-06 22:00:00+00:00,772.45,29.23
2025-01-06 23:00:00+00:00,588.1,29.17
2025-01-07 00:00:00+00:00,333.2,29.03
2025-01-07 01:00:00+00:00,106.15,28.76
2025-01-07 02:00:00+00:00,0.0,28.34
2025-01-07 03:00:00+00:00,0.0,28.1
2025-01-07 04:00:00+00:00,0.0,27.92
2025-01-07 05:00:00+00:00,0.0,27.76
2025-01-07 06:00:00+00:00,0.0,27.62
2025-01-07 07:00:00+00:00,0.0,27.5
2025-01-07 08:00:00+00:00,0.0,27.39
2025-01-07 09:00:00+00:00,0.0,27.29
2025-01-07 10:00:00+00:00,0.0,27.22
2025-01-07 11:00:00+00:00,0.0,27.17
2025-01-07 12:00:00+00:00,0.0,27.15
2025-01-07 13:00:00+00:00,3.42,27.19
2025-01-07 14:00:00+00:00,113.93,27.59
2025-01-07 15:00:00+00:00,337.6,28.03
2025-01-07 16:00:00+00:00,570.12,28.46
2025-01-07 17:00:00+00:00,767.22,28.93
2025-01-07 18:00:00+00:00,898.45,29.32
2025-01-07 19:00:00+00:00,969.53,29.62
2025-01-07 20:00:00+00:00,991.2,29.79
2025-01-07 21:00:00+00:00,916.33,29.88
2025-01-07 22:00:00+00:00,746.7,29.96
2025-01-07 23:00:00+00:00,574.0,29.96
2025-01-08 00:00:00+00:00,328.2,29.87
2025-01-08 01:00:00+00:00,105.28,29.65
2025-01-08 02:00:00+00:00,0.0,29.23
2025-01-08 03:00:00+00:00,0.0,29.04
2025-01-08 04:00:00+00:00,0.0,28.93
2025-01-08 05:00:00+00:00,0.0,28.83
2025-01-08 06:00:00+00:00,0.0,28.72
2025-01-08 07:00:00+00:00,0.0,28.55
2025-01-08 08:00:00+00:00,0.0,28.36
2025-01-08 09:00:00+00:00,0.0,28.19
2025-01-08 10:00:00+00:00,0.0,28.05
2025-01-08 11:00:00+00:00,0.0,27.98
2025-01-08 12:00:00+00:00,0.0,27.94
2025-01-08 13:00:00+00:00,3.22,28.0
2025-01-08 14:00:00+00:00,115.3,28.4
2025-01-08 15:00:00+00:00,338.08,28.81
2025-01-08 16:00:00+00:00,587.53,29.04
2025-01-08 17:00:00+00:00,782.3,29.22
2025-01-08 18:00:00+00:00,917.97,29.41
2025-01-08 19:00:00+00:00,940.33,29.5
2025-01-08 20:00:00+00:00,834.1,29.58
2025-01-08 21:00:00+00:00,658.6,29.62
2025-01-08 22:00:00+00:00,491.12,29.59
2025-01-08 23:00:00+00:00,254.3,29.53
2025-01-09 00:00:00+00:00,158.23,29.45
2025-01-09 01:00:00+00:00,50.47,29.27
2025-01-09 02:00:00+00:00,0.0,29.01
2025-01-09 03:00:00+00:00,0.0,28.92
2025-01-09 04:00:00+00:00,0.0,28.82
2025-01-09 05:00:00+00:00,0.0,28.69
2025-01-09 06:00:00+00:00,0.0,28.53
2025-01-09 07:00:00+00:00,0.0,28.35
2025-01-09 08:00:00+00:00,0.0,28.16
2025-01-09 09:00:00+00:00,0.0,27.98
2025-01-09 10:00:00+00:00,0.0,27.84
2025-01-09 11:00:00+00:00,0.0,27.75
2025-01-09 12:00:00+00:00,0.0,27.72
2025-01-09 13:00:00+00:00,0.0,27.74
2025-01-09 14:00:00+00:00,104.1,28.07
2025-01-09 15:00:00+00:00,282.95,28.35
2025-01-09 16:00:00+00:00,491.75,28.58
2025-01-09 17:00:00+00:00,696.08,28.81
2025-01-09 18:00:00+00:00,781.78,28.94
2025-01-09 19:00:00+00:00,750.4,29.01
2025-01-09 20:00:00+00:00,642.35,29.03
2025-01-09 21:00:00+00:00,572.55,28.97
2025-01-09 22:00:00+00:00,522.38,28.87
2025-01-09 23:00:00+00:00,404.83,28.7
2025-01-10 00:00:00+00:00,218.15,28.45
2025-01-10 01:00:00+00:00,76.9,28.15
2025-01-10 02:00:00+00:00,0.0,27.84
2025-01-10 03:00:00+00:00,0.0,27.72
2025-01-10 04:00:00+00:00,0.0,27.65
2025-01-10 05:00:00+00:00,0.0,27.55
2025-01-10 06:00:00+00:00,0.0,27.45
2025-01-10 07:00:00+00:00,0.0,27.35
2025-01-10 08:00:00+00:00,0.0,27.27
2025-01-10 09:00:00+00:00,0.0,27.23
2025-01-10 10:00:00+00:00,0.0,27.22
2025-01-10 11:00:00+00:00,0.0,27.25
2025-01-10 12:00:00+00:00,0.0,27.3
2025-01-10 13:00:00+00:00,0.0,27.35
2025-01-10 14:00:00+00:00,90.3,27.67
2025-01-10 15:00:00+00:00,251.7,27.97
2025-01-10 16:00:00+00:00,453.08,28.11
2025-01-10 17:00:00+00:00,594.97,28.17
2025-01-10 18:00:00+00:00,619.75,28.19
2025-01-10 19:00:00+00:00,541.97,28.16
2025-01-10 20:00:00+00:00,306.73,28.11
2025-01-10 21:00:00+00:00,164.45,28.05
2025-01-10 22:00:00+00:00,183.95,27.95
2025-01-10 23:00:00+00:00,169.7,27.84
2025-01-11 00:00:00+00:00,94.5,27.71
2025-01-11 01:00:00+00:00,37.55,27.57
2025-01-11 02:00:00+00:00,0.0,27.42
2025-01-11 03:00:00+00:00,0.0,27.38
2025-01-11 04:00:00+00:00,0.0,27.35
2025-01-11 05:00:00+00:00,0.0,27.34
2025-01-11 06:00:00+00:00,0.0,27.31
2025-01-11 07:00:00+00:00,0.0,27.29
2025-01-11 08:00:00+00:00,0.0,27.22
2025-01-11 09:00:00+00:00,0.0,27.17
2025-01-11 10:00:00+00:00,0.0,27.14
2025-01-11 11:00:00+00:00,0.0,27.1
2025-01-11 12:00:00+00:00,0.0,27.07
2025-01-11 13:00:00+00:00,0.0,27.05
2025-01-11 14:00:00+00:00,71.38,27.44
2025-01-11 15:00:00+00:00,241.95,27.82
2025-01-11 16:00:00+00:00,446.08,28.0
2025-01-11 17:00:00+00:00,597.45,28.14
2025-01-11 18:00:00+00:00,667.08,28.2
2025-01-11 19:00:00+00:00,692.72,28.25
2025-01-11 20:00:00+00:00,674.97,28.3
2025-01-11 21:00:00+00:00,593.9,28.31
2025-01-11 22:00:00+00:00,452.35,28.25
2025-01-11 23:00:00+00:00,234.55,28.15
2025-01-12 00:00:00+00:00,179.85,28.02
2025-01-12 01:00:00+00:00,63.6,27.77
2025-01-12 02:00:00+00:00,0.0,27.48
2025-01-12 03:00:00+00:00,0.0,27.34
2025-01-12 04:00:00+00:00,0.0,27.26
2025-01-12 05:00:00+00:00,0.0,27.19
2025-01-12 06:00:00+00:00,0.0,27.13
2025-01-12 07:00:00+00:00,0.0,27.09
2025-01-12 08:00:00+00:00,0.0,27.04
2025-01-12 09:00:00+00:00,0.0,27.0
2025-01-12 10:00:00+00:00,0.0,26.99
2025-01-12 11:00:00+00:00,0.0,26.99
2025-01-12 12:00:00+00:00,0.0,27.0
2025-01-12 13:00:00+00:00,0.0,27.03
2025-01-12 14:00:00+00:00,101.9,27.37
2025-01-12 15:00:00+00:00,305.77,27.75
2025-01-12 16:00:00+00:00,518.62,27.94
2025-01-12 17:00:00+00:00,641.9,28.13
2025-01-12 18:00:00+00:00,741.65,28.31
2025-01-12 19:00:00+00:00,751.97,28.45
2025-01-12 20:00:00+00:00,809.9,28.48
2025-01-12 21:00:00+00:00,819.03,28.43
2025-01-12 22:00:00+00:00,649.72,28.39
2025-01-12 23:00:00+00:00,477.77,28.34
2025-01-13 00:00:00+00:00,294.33,28.23
2025-01-13 01:00:00+00:00,92.8,28.06
2025-01-13 02:00:00+00:00,0.0,27.83
2025-01-13 03:00:00+00:00,0.0,27.78
2025-01-13 04:00:00+00:00,0.0,27.74
2025-01-13 05:00:00+00:00,0.0,27.7
2025-01-13 06:00:00+00:00,0.0,27.64
2025-01-13 07:00:00+00:00,0.0,27.57
2025-01-13 08:00:00+00:00,0.0,27.5
2025-01-13 09:00:00+00:00,0.0,27.43
2025-01-13 10:00:00+00:00,0.0,27.39
2025-01-13 11:00:00+00:00,0.0,27.37
2025-01-13 12:00:00+00:00,0.0,27.35
2025-01-13 13:00:00+00:00,0.0,27.37
2025-01-13 14:00:00+00:00,98.93,27.69
2025-01-13 15:00:00+00:00,295.65,28.07
2025-01-13 16:00:00+00:00,509.52,28.27
2025-01-13 17:00:00+00:00,653.65,28.43
2025-01-13 18:00:00+00:00,751.6,28.57
2025-01-13 19:00:00+00:00,841.72,28.68
2025-01-13 20:00:00+00:00,853.65,28.71
2025-01-13 21:00:00+00:00,813.2,28.69
2025-01-13 22:00:00+00:00,635.2,28.64
2025-01-13 23:00:00+00:00,479.17,28.55
2025-01-14 00:00:00+00:00,285.55,28.43
2025-01-14 01:00:00+00:00,91.5,28.24
2025-01-14 02:00:00+00:00,0.0,27.98
2025-01-14 03:00:00+00:00,0.0,27.92
2025-01-14 04:00:00+00:00,0.0,27.91
2025-01-14 05:00:00+00:00,0.0,27.89
2025-01-14 06:00:00+00:00,0.0,27.85
2025-01-14 07:00:00+00:00,0.0,27.78
2025-01-14 08:00:00+00:00,0.0,27.68
2025-01-14 09:00:00+00:00,0.0,27.59
2025-01-14 10:00:00+00:00,0.0,27.49
2025-01-14 11:00:00+00:00,0.0,27.42
2025-01-14 12:00:00+00:00,0.0,27.34
2025-01-14 13:00:00+00:00,0.0,27.29
2025-01-14 14:00:00+00:00,80.25,27.57
2025-01-14 15:00:00+00:00,251.02,27.93
2025-01-14 16:00:00+00:00,457.0,28.1
2025-01-14 17:00:00+00:00,590.58,28.21
2025-01-14 18:00:00+00:00,731.78,28.26
2025-01-14 19:00:00+00:00,813.92,28.28
2025-01-14 20:00:00+00:00,798.65,28.3
2025-01-14 21:00:00+00:00,780.28,28.23
2025-01-14 22:00:00+00:00,618.15,28.14
2025-01-14 23:00:00+00:00,451.62,28.04
2025-01-15 00:00:00+00:00,246.6,27.95
2025-01-15 01:00:00+00:00,71.93,27.8
2025-01-15 02:00:00+00:00,0.0,27.62
2025-01-15 03:00:00+00:00,0.0,27.58
2025-01-15 04:00:00+00:00,0.0,27.55
2025-01-15 05:00:00+00:00,0.0,27.52
2025-01-15 06:00:00+00:00,0.0,27.46
2025-01-15 07:00:00+00:00,0.0,27.37
2025-01-15 08:00:00+00:00,0.0,27.28
2025-01-15 09:00:00+00:00,0.0,27.21
2025-01-15 10:00:00+00:00,0.0,27.2
2025-01-15 11:00:00+00:00,0.0,27.24
2025-01-15 12:00:00+00:00,0.0,27.31
2025-01-15 13:00:00+00:00,0.0,27.39
2025-01-15 14:00:00+00:00,46.1,27.76
2025-01-15 15:00:00+00:00,154.52,28.17
2025-01-15 16:00:00+00:00,264.42,28.34
2025-01-15 17:00:00+00:00,422.23,28.46
2025-01-15 18:00:00+00:00,490.92,28.54
2025-01-15 19:00:00+00:00,523.78,28.58
2025-01-15 20:00:00+00:00,495.25,28.55
2025-01-15 21:00:00+00:00,406.0,28.46
2025-01-15 22:00:00+00:00,364.17,28.26
2025-01-15 23:00:00+00:00,289.62,28.04
2025-01-16 00:00:00+00:00,148.52,27.8
2025-01-16 01:00:00+00:00,46.9,27.54
2025-01-16 02:00:00+00:00,0.0,27.35
2025-01-16 03:00:00+00:00,0.0,27.31
2025-01-16 04:00:00+00:00,0.0,27.26
2025-01-16 05:00:00+00:00,0.0,27.21
2025-01-16 06:00:00+00:00,0.0,27.14
2025-01-16 07:00:00+00:00,0.0,27.06
2025-01-16 08:00:00+00:00,0.0,26.99
2025-01-16 09:00:00+00:00,0.0,26.92
2025-01-16 10:00:00+00:00,0.0,26.88
2025-01-16 11:00:00+00:00,0.0,26.87
2025-01-16 12:00:00+00:00,0.0,26.9
2025-01-16 13:00:00+00:00,0.0,26.96
2025-01-16 14:00:00+00:00,14.12,27.23
2025-01-16 15:00:00+00:00,44.78,27.53
2025-01-16 16:00:00+00:00,86.82,27.65
2025-01-16 17:00:00+00:00,255.02,27.72
2025-01-16 18:00:00+00:00,424.05,27.73
2025-01-16 19:00:00+00:00,575.5,27.74
2025-01-16 20:00:00+00:00,566.58,27.75
2025-01-16 21:00:00+00:00,589.6,27.74
2025-01-16 22:00:00+00:00,446.73,27.73
2025-01-16 23:00:00+00:00,338.48,27.73
2025-01-17 00:00:00+00:00,153.15,27.71
2025-01-17 01:00:00+00:00,53.2,27.6
2025-01-17 02:00:00+00:00,0.0,27.45
2025-01-17 03:00:00+00:00,0.0,27.44
2025-01-17 04:00:00+00:00,0.0,27.43
2025-01-17 05:00:00+00:00,0.0,27.4
2025-01-17 06:00:00+00:00,0.0,27.36
2025-01-17 07:00:00+00:00,0.0,27.28
2025-01-17 08:00:00+00:00,0.0,27.19
2025-01-17 09:00:00+00:00,0.0,27.11
2025-01-17 10:00:00+00:00,0.0,27.09
2025-01-17 11:00:00+00:00,0.0,27.12
2025-01-17 12:00:00+00:00,0.0,27.14
2025-01-17 13:00:00+00:00,0.0,27.13
2025-01-17 14:00:00+00:00,84.15,27.36
2025-01-17 15:00:00+00:00,237.6,27.7
2025-01-17 16:00:00+00:00,426.52,27.9
2025-01-17 17:00:00+00:00,552.78,28.05
2025-01-17 18:00:00+00:00,540.42,28.17
2025-01-17 19:00:00+00:00,522.62,28.23
2025-01-17 20:00:00+00:00,460.95,28.23
2025-01-17 21:00:00+00:00,445.2,28.22
2025-01-17 22:00:00+00:00,357.48,28.22
2025-01-17 23:00:00+00:00,246.12,28.2
2025-01-18 00:00:00+00:00,158.1,28.15
2025-01-18 01:00:00+00:00,51.28,27.98
2025-01-18 02:00:00+00:00,0.0,27.79
2025-01-18 03:00:00+00:00,0.0,27.76
2025-01-18 04:00:00+00:00,0.0,27.75
2025-01-18 05:00:00+00:00,0.0,27.73
2025-01-18 06:00:00+00:00,0.0,27.69
2025-01-18 07:00:00+00:00,0.0,27.61
2025-01-18 08:00:00+00:00,0.0,27.54
2025-01-18 09:00:00+00:00,0.0,27.47
2025-01-18 10:00:00+00:00,0.0,27.42
2025-01-18 11:00:00+00:00,0.0,27.4
2025-01-18 12:00:00+00:00,0.0,27.41
2025-01-18 13:00:00+00:00,0.0,27.47
2025-01-18 14:00:00+00:00,74.95,27.75
2025-01-18 15:00:00+00:00,233.4,28.1
2025-01-18 16:00:00+00:00,421.42,28.35
2025-01-18 17:00:00+00:00,628.85,28.57
2025-01-18 18:00:00+00:00,704.1,28.72
2025-01-18 19:00:00+00:00,674.3,28.83
2025-01-18 20:00:00+00:00,691.42,28.86
2025-01-18 21:00:00+00:00,546.28,28.85
2025-01-18 22:00:00+00:00,473.38,28.77
2025-01-18 23:00:00+00:00,295.3,28.65
2025-01-19 00:00:00+00:00,167.5,28.43
2025-01-19 01:00:00+00:00,62.3,28.16
2025-01-19 02:00:00+00:00,0.0,27.86
2025-01-19 03:00:00+00:00,0.0,27.74
2025-01-19 04:00:00+00:00,0.0,27.63
2025-01-19 05:00:00+00:00,0.0,27.56
2025-01-19 06:00:00+00:00,0.0,27.49
2025-01-19 07:00:00+00:00,0.0,27.38
2025-01-19 08:00:00+00:00,0.0,27.32
2025-01-19 09:00:00+00:00,0.0,27.23
2025-01-19 10:00:00+00:00,0.0,27.15
2025-01-19 11:00:00+00:00,0.0,27.06
2025-01-19 12:00:00+00:00,0.0,27.04
2025-01-19 13:00:00+00:00,0.0,27.02
2025-01-19 14:00:00+00:00,51.97,27.22
2025-01-19 15:00:00+00:00,164.6,27.47
2025-01-19 16:00:00+00:00,272.5,27.58
2025-01-19 17:00:00+00:00,478.35,27.73
2025-01-19 18:00:00+00:00,545.35,27.88
2025-01-19 19:00:00+00:00,500.6,27.98
2025-01-19 20:00:00+00:00,538.92,28.01
2025-01-19 21:00:00+00:00,534.78,27.95
2025-01-19 22:00:00+00:00,407.17,27.8
2025-01-19 23:00:00+00:00,316.7,27.58
2025-01-20 00:00:00+00:00,178.57,27.29
2025-01-20 01:00:00+00:00,62.3,27.01
2025-01-20 02:00:00+00:00,0.0,26.78
2025-01-20 03:00:00+00:00,0.0,26.69
2025-01-20 04:00:00+00:00,0.0,26.65
2025-01-20 05:00:00+00:00,0.0,26.66
2025-01-20 06:00:00+00:00,0.0,26.67
2025-01-20 07:00:00+00:00,0.0,26.66
2025-01-20 08:00:00+00:00,0.0,26.64
2025-01-20 09:00:00+00:00,0.0,26.62
2025-01-20 10:00:00+00:00,0.0,26.61
2025-01-20 11:00:00+00:00,0.0,26.61
2025-01-20 12:00:00+00:00,0.0,26.63
2025-01-20 13:00:00+00:00,0.0,26.62
2025-01-20 14:00:00+00:00,69.7,26.78
2025-01-20 15:00:00+00:00,196.4,27.07
2025-01-20 16:00:00+00:00,328.3,27.19
2025-01-20 17:00:00+00:00,462.67,27.29
2025-01-20 18:00:00+00:00,543.1,27.44
2025-01-20 19:00:00+00:00,643.88,27.56
2025-01-20 20:00:00+00:00,660.92,27.57
2025-01-20 21:00:00+00:00,681.88,27.51
2025-01-20 22:00:00+00:00,507.3,27.41
2025-01-20 23:00:00+00:00,338.0,27.25
2025-01-21 00:00:00+00:00,185.75,27.09
2025-01-21 01:00:00+00:00,61.2,26.93
2025-01-21 02:00:00+00:00,0.0,26.8
2025-01-21 03:00:00+00:00,0.0,26.77
2025-01-21 04:00:00+00:00,0.0,26.75
2025-01-21 05:00:00+00:00,0.0,26.73
2025-01-21 06:00:00+00:00,0.0,26.74
2025-01-21 07:00:00+00:00,0.0,26.72
2025-01-21 08:00:00+00:00,0.0,26.68
2025-01-21 09:00:00+00:00,0.0,26.64
2025-01-21 10:00:00+00:00,0.0,26.6
2025-01-21 11:00:00+00:00,0.0,26.55
2025-01-21 12:00:00+00:00,0.0,26.49
2025-01-21 13:00:00+00:00,0.0,26.46
2025-01-21 14:00:00+00:00,43.83,26.55
2025-01-21 15:00:00+00:00,122.62,26.84
2025-01-21 16:00:00+00:00,224.02,26.96
2025-01-21 17:00:00+00:00,430.55,27.09
2025-01-21 18:00:00+00:00,665.6,27.17
2025-01-21 19:00:00+00:00,707.85,27.2
2025-01-21 20:00:00+00:00,650.67,27.25
2025-01-21 21:00:00+00:00,493.67,27.32
2025-01-21 22:00:00+00:00,460.65,27.35
2025-01-21 23:00:00+00:00,342.38,27.29
2025-01-22 00:00:00+00:00,178.62,27.21
2025-01-22 01:00:00+00:00,51.58,27.08
2025-01-22 02:00:00+00:00,0.0,26.95
2025-01-22 03:00:00+00:00,0.0,26.93
2025-01-22 04:00:00+00:00,0.0,26.96
2025-01-22 05:00:00+00:00,0.0,27.02
2025-01-22 06:00:00+00:00,0.0,27.04
2025-01-22 07:00:00+00:00,0.0,26.99
2025-01-22 08:00:00+00:00,0.0,26.9
2025-01-22 09:00:00+00:00,0.0,26.83
2025-01-22 10:00:00+00:00,0.0,26.8
2025-01-22 11:00:00+00:00,0.0,26.79
2025-01-22 12:00:00+00:00,0.0,26.78
2025-01-22 13:00:00+00:00,0.0,26.77
2025-01-22 14:00:00+00:00,56.6,26.99
2025-01-22 15:00:00+00:00,190.18,27.37
2025-01-22 16:00:00+00:00,343.77,27.6
2025-01-22 17:00:00+00:00,522.35,27.82
2025-01-22 18:00:00+00:00,672.5,28.08
2025-01-22 19:00:00+00:00,806.45,28.32
2025-01-22 20:00:00+00:00,806.0,28.45
2025-01-22 21:00:00+00:00,690.83,28.53
2025-01-22 22:00:00+00:00,573.65,28.48
2025-01-22 23:00:00+00:00,416.52,28.35
2025-01-23 00:00:00+00:00,233.8,28.18
2025-01-23 01:00:00+00:00,74.57,27.99
2025-01-23 02:00:00+00:00,0.0,27.77
2025-01-23 03:00:00+00:00,0.0,27.67
2025-01-23 04:00:00+00:00,0.0,27.61
2025-01-23 05:00:00+00:00,0.0,27.46
2025-01-23 06:00:00+00:00,0.0,27.37
