scenario_id,fault_type,onset,detected,detected_at,latency
33,LLF,54,True,54,0
46,LLF,29,True,29,0
61,LLF,57,True,57,0
65,LLF,37,True,37,0
74,LLF,40,True,40,0
76,LLF,50,True,50,0
77,LLF,51,True,51,0
79,LLF,37,True,37,0
81,LGF,35,True,73,38
87,LGF,27,True,59,32
103,LGF,38,True,63,25
109,LGF,42,True,53,11
111,LGF,30,True,45,15
115,LGF,44,True,67,23
125,LGF,59,True,94,35
126,LGF,30,True,53,23
130,PSC,22,True,29,7
140,PSC,23,True,29,6
148,PSC,34,True,41,7
156,PSC,55,True,59,4
157,PSC,24,True,29,5
169,PSC,27,True,30,3
171,PSC,32,True,38,6
179,PSC,57,True,64,7
